"Inventar-Nr","Status","Hersteller","Modell","Kurzbezeichnung","Objekttyp","Farbe","Seriennummer","Kaufdatum","Einkaufspreis","Gerätefoto","Standort","Bereich","Unterkategorie","Zuständige Person","Vorbesitzer","Zustandshinweis"
"0514","Verfügbar","Milwaukee","Stemmhammer K 545S",,"Bohr/Stemmhammer","Rot",,,,"processed-09A981EF-33C6-4772-82BB-9726B0A8728B-B8E63C2D-0C59-4724-B78D-1CC72E674362.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0509","Verfügbar","Milwaukee","Akku Schrauber M 18CBLPD, 2 AKKUS",,"Akku Schrauber","Rot",,,,"processed-70FA6F1E-188C-48D5-B6B7-09E571992767-5B6C31F6-FD1A-481C-9D53-E05C15F86CAC.jpeg","Werkzeugcontainer ","[""Handwerk""]",,"EF-Köln | Sekretariat",,
"0515","Verfügbar","Milwaukee","Stemmhammer PLH 28E",,"Bohr/Stemmhammer","Rot",,,,"processed-604C9BA7-C09C-4F2C-8D47-F9D1C096FE1F-D1C529C4-727B-46D9-878B-83892D0D3B4D.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0516","Verfügbar","Milwaukee","Stemmhammer PLH 28E",,"Bohr/Stemmhammer","Rot",,,,"processed-EDF8EB65-FB65-4D51-84B0-9F08AFB4205F-D96F5AD2-67DF-4629-BFEF-3A64100CFDE4.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0517","Verfügbar","Milwaukee","Stemmhammer K 545S",,"Bohr/Stemmhammer","Rot",,,,"processed-17A18F62-2BEC-48C4-88F0-8E9C23CB1D95-B1235F1E-E98E-4162-A7AE-3F03C28E9464.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0518","Verfügbar","Bosch","Stemmhammer GSH 5",,"Bohr/Stemmhammer","Blau",,,,"processed-1CA8DB9B-3C2C-4F5C-ABED-D84116910BD1-5F04FB49-B827-4245-BF17-6F786BE71EBD.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0519","Verfügbar","Bosch","Stemmhammer GBH 540DCE",,"Bohr/Stemmhammer","Blau",,,,"processed-27264FD7-1115-4B27-8274-A33BE80B4BA6-DB51EED0-7EE2-4E51-8BB5-234C1B84FEA7.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0520","Verfügbar","Nilfisk","Hochdruckreiniger E.145.4",,"Hochdruickreiniger","Blau",,,,"processed-0B9D17AE-8E46-4E29-B8BB-206CD02EE60F-90C4E40C-B58C-45C0-89B6-D68F356751E9.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0521","Verfügbar","Kärcher","Hochdruckreiniger K 7",,"Hochdruickreiniger","Gelb",,,,,"Werkzeugcontainer ","[""Handwerk""]",,,,
"0522","Verfügbar","Einhell","Einhell Stromaggregat ",,"Aggregat","Rot",,,,"processed-0ACEC4D0-E456-4E4E-9B09-727ECE63853C-AA43A14C-9450-4D9E-929C-35FB0B49C733.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0524","Verfügbar","Milwaukee","AKKU Lampe 18 TAL ",,"AKKU Baustrahler","Rot",,,,"processed-B18C9EEF-D64A-482D-BBAB-BAB33123243B-15F71D0D-0970-4E42-B6A9-AEB72BA0EEEE.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0523","Verfügbar","Milwaukee","Flex M 14",,"Flex","Rot",,,,"processed-E23C8567-C520-479F-8722-880699A88EFD-69A0399B-6CC2-4F72-B843-F1E136CBCF75.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0525","Verfügbar","Milwaukee","Lampe M 18 ONE SLSP",,"Baustrahler","Rot",,,,"processed-21C210F8-1EE7-4CF9-9655-A51470B3F1BE-DF37A1C3-6CDA-45DE-B139-FA0791C7FD77.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0528","Verfügbar","Milwaukee","Lampe M 18 ONESLP",,"Baustrahler","Rot",,,,"processed-BA766954-72D3-4DE9-8413-40A3E9C5FB69-73752303-A4A5-4168-B187-62A686ED2144.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0526","Verfügbar","Milwaukee","Flex AGV 15-125 XE",,"Flex","Rot",,,,"processed-AAAFD264-0C68-4BE2-AD12-A9450DFDACDA-F4355A7B-FAB1-4269-A7ED-3B8B365C9A40.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0527","Verfügbar","Milwaukee","Ladegerät M 1418 C6",,"AKKU Ladestation","Rot",,,,"processed-877F9FC8-9B85-4A66-BD30-464C9E6746D5-1867D9C1-D844-46CF-AD06-BD1219E86278.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0529","Verfügbar","Milwaukee","Ladegerät M 1418 C6",,"AKKU Ladestation","Rot",,,,"processed-23BF1999-4FAC-468E-8A43-CC78C142A779-5D38A235-D534-4293-87E6-843F2EB0B82D.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0530","Verfügbar","Milwaukee","Flex AGV 15-125 XE",,"Flex","Rot",,,,"processed-7765885B-7D93-44F5-85F5-1839842DF27B-B8ACF1A7-4A0E-481A-B2E2-65B7F378EDA5.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0531","Verfügbar","Brennenstuhl","Stativlampe R 17000",,"Stativ Baustrahler","Gelb",,,,"processed-5F811311-1436-40EF-B73C-7803BF3586A1-4D909812-4430-4037-A57F-7ED3361E12E9.jpeg","Werkzeugcontainer ","[""Handwerk""]",,,,
"0144","Verfügbar","beyerdynamic","Synexis TS8","UHF-Sender","Sonstige","Schwarz","001929",,,"IMG_3177[1].JPG","Saal","[""Medientechnik""]","[""Audio""]",,,
"0161","Verfügbar","Elgato","StreamDeck (20GAA9901)","Stream Deck","Tastatur","Schwarz","AL31H1A01230",,,"IMG_3207[1].JPG","Regie","[""Medientechnik""]",,,,
"0172","Verfügbar","AJA","HA5","HDMI to SDI Converter","Converter HDMI to SDI","Grau","K0098262",,,"IMG_6340.JPG","Converter-Case","[""Medientechnik""]","[""Video""]",,,
"0267","Verfügbar","beyerdynamic","Synexis TS8",,"UHF Transmitter","Schwarz","002076",,,"IMG_5050.jpg","FoH","[""Medientechnik""]","[""Audio""]",,,
"0271","Verfügbar",,"Kabeltrommel Schuko 25m 3G2,5mm",,"Schuko Kabeltrommel","Schwarz",,"01.06.2022","127,54","IMG_5149.jpg","Werkzeugcontainer ","[""Medientechnik""]",,,,"https://www.amazon.de/dp/B07DPS7WQ7/ref=sspa_dk_detail_1?pd_rd_i=B07DPR7QYM&pd_rd_w=nQ4RE&pf_rd_p=d653785b-379e-4f45-87ba-2d67ddb0eb39&pd_rd_wg=yoFUq&pf_rd_r=SCE8XJBQ68HBSVJRSDD0&pd_rd_r=957f07a0-62b6-42cd-aec8-4ba285936cb2&s=diy&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUlo5QVZDN0hKRTFVJmVuY3J5cHRlZElkPUEwMDg4MDgzMURTRVpBRDVSVjBNRCZlbmNyeXB0ZWRBZElkPUEwMjE5NTgzMkRLQ1E3NzBZRjBJUCZ3aWRnZXROYW1lPXNwX2RldGFpbDImYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1"
"0272","Verfügbar",,"Kabeltrommel Schuko 25m 3G2,5mm",,"Schuko Kabeltrommel","Schwarz",,"01.06.2022","127,54","IMG_5149.jpg","Werkzeugcontainer ","[""Medientechnik""]",,,,"https://www.amazon.de/dp/B07DPS7WQ7/ref=sspa_dk_detail_1?pd_rd_i=B07DPR7QYM&pd_rd_w=nQ4RE&pf_rd_p=d653785b-379e-4f45-87ba-2d67ddb0eb39&pd_rd_wg=yoFUq&pf_rd_r=SCE8XJBQ68HBSVJRSDD0&pd_rd_r=957f07a0-62b6-42cd-aec8-4ba285936cb2&s=diy&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUlo5QVZDN0hKRTFVJmVuY3J5cHRlZElkPUEwMDg4MDgzMURTRVpBRDVSVjBNRCZlbmNyeXB0ZWRBZElkPUEwMjE5NTgzMkRLQ1E3NzBZRjBJUCZ3aWRnZXROYW1lPXNwX2RldGFpbDImYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl&th=1"
"0274","Verfügbar",,"Kabeltrommel Schuko 25m 3G2,5mm",,"Schuko Kabeltrommel","Schwarz",,"01.06.2022","127,54","IMG_5149.jpg","Werkzeugcontainer ","[""Medientechnik""]",,,,
"0273","Verfügbar",,"Kabeltrommel Schuko 25m 3G2,5mm",,"Schuko Kabeltrommel","Schwarz",,"01.06.2022","127,54","IMG_5149.jpg","Werkzeugcontainer ","[""Medientechnik""]",,,,
